id|tags.service|tags.application|tags.component|tags.environment_name|tags.description
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/domaincontrollers/providers/Microsoft.Compute/disks/dc01DataDisk|FixNGo|Management|domaincontroller|devtest|AD Server 1; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/domaincontrollers/providers/Microsoft.Compute/disks/dc02DataDisk|FixNGo|Management|domaincontroller|devtest|AD Server 2; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/domaincontrollers/providers/Microsoft.Compute/disks/tc-mgt-dc-01_OsDisk_1_e62d546659da4a589aa39a1097d4d7c8|FixNGo|Management|domaincontroller|devtest|AD Server 1; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/domaincontrollers/providers/Microsoft.Compute/disks/tc-mgt-dc-02_OsDisk_1_e0ecfeeff98c433cbc3b8fdefa43e85f|FixNGo|Management|domaincontroller|devtest|AD Server 2; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/domaincontrollers/providers/Microsoft.Compute/virtualMachines/tc-mgt-dc-01|FixNGo|Management|domaincontroller|devtest|AD Server 1; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/domaincontrollers/providers/Microsoft.Compute/virtualMachines/tc-mgt-dc-02|FixNGo|Management|domaincontroller|devtest|AD Server 2; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/drdomaincontrollers/providers/Microsoft.Compute/disks/dc03DataDisk|FixNGo|Management|domaincontroller|devtest|AD Server 3; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/drdomaincontrollers/providers/Microsoft.Compute/disks/dc04DataDisk|FixNGo|Management|domaincontroller|devtest|AD Server 4; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/drdomaincontrollers/providers/Microsoft.Compute/disks/tc-mgt-dc-03_OsDisk_1_cd2f2374dcca4c4780e5ea75cc2540b2|FixNGo|Management|domaincontroller|devtest|AD Server 3; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/drdomaincontrollers/providers/Microsoft.Compute/disks/tc-mgt-dc-04_OsDisk_1_fd4e45d7dc3d48a29200363186c0de01|FixNGo|Management|domaincontroller|devtest|AD Server 4; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/drdomaincontrollers/providers/Microsoft.Compute/virtualMachines/tc-mgt-dc-03|FixNGo|Management|domaincontroller|devtest|AD Server 3; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/drdomaincontrollers/providers/Microsoft.Compute/virtualMachines/tc-mgt-dc-04|FixNGo|Management|domaincontroller|devtest|AD Server 4; NTP Source
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba/providers/Microsoft.Compute/disks/T3TDL9AWBKV0001-DataDisk-0|NOMIS|NOMIS|data|T3|Dev/Test Database (DSO)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba/providers/Microsoft.Compute/disks/T3TDL9AWBKV0001-DataDisk-1|NOMIS|NOMIS|data|T3|Dev/Test Database (DSO)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba/providers/Microsoft.Compute/disks/T3TDL9AWBKV0001-DataDisk-2|NOMIS|NOMIS|data|T3|Dev/Test Database (DSO)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba/providers/Microsoft.Compute/disks/T3TDL9AWBKV0001-OSDisk|NOMIS|NOMIS|data|T3|Dev/Test Database (DSO)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba/providers/Microsoft.Compute/virtualMachines/T3TDL9AWBKV0001|NOMIS|NOMIS|data|T3|Dev/Test Database (DSO)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-oasys-t2/providers/Microsoft.Compute/disks/T2ORW4JP86O0001-DataDisk-0|OASys|OASys|test|T2|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-oasys-t2/providers/Microsoft.Compute/disks/T2ORW4JP86O0001-DataDisk-1|OASys|OASys|test|T2|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-oasys-t2/providers/Microsoft.Compute/disks/T2ORW4JP86O0001-OSDisk|OASys|OASys|test|T2|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-oasys-t2/providers/Microsoft.Compute/virtualMachines/T2ORW4JP86O0001|OASys|OASys|test|T2|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-sap-bip-t1/providers/Microsoft.Compute/disks/T1PRWK4DY1B0001-DataDisk-0|NOMIS|NOMIS|test|T1|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-sap-bip-t1/providers/Microsoft.Compute/disks/T1PRWK4DY1B0001-DataDisk-1|NOMIS|NOMIS|test|T1|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-sap-bip-t1/providers/Microsoft.Compute/disks/T1PRWK4DY1B0001-OSDisk|NOMIS|NOMIS|test|T1|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-sap-bip-t1/providers/Microsoft.Compute/virtualMachines/T1PRWK4DY1B0001|NOMIS|NOMIS|test|T1|Client Access Testing
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/disks/T3PALFZ8K2Y0001-DataDisk-0|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/disks/T3PALFZ8K2Y0001-DataDisk-1|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/disks/T3PALFZ8K2Y0001-OSDisk|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/disks/T3PALFZ8K2Y0002-DataDisk-0|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/disks/T3PALFZ8K2Y0002-DataDisk-1|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/disks/T3PALFZ8K2Y0002-OSDisk|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/virtualMachines/T3PALFZ8K2Y0001|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon/providers/Microsoft.Compute/virtualMachines/T3PALFZ8K2Y0002|NOMIS|NOMIS|web|T3|General Purpose Weblogic Test Server (Syscon)
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/nomis-bip-t1/providers/Microsoft.Compute/disks/T1PDLZ4QE9C0001-DataDisk-0|NOMIS|MIS|data|T1/BOEUpgrade|NOMIS BIP Oracle DB
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/nomis-bip-t1/providers/Microsoft.Compute/disks/T1PDLZ4QE9C0001-DataDisk-1|NOMIS|MIS|data|T1/BOEUpgrade|NOMIS BIP Oracle DB
